Precio,Ubicacion,Área (m^2),Distrito,Dormitorios,Baños,Latitud,Longitud,Link,n° colegios (radio 1500m),n° parques/areas verdes (radio 800m),n° hospitales (radio 2000m),n° restaurantes (radio 800m),n° supermercados (radio 1000m),n° gasolineras (radio 1000m)
850000.0,"Urb Portada De La Planicie, La Molina, Perú",618.0,La Molina,7,6,-12.07833,-76.92146,https://www.laencontre.com.pe/inmueble/20d4-b926-570d7d2-3dd6c4dd1745-4e60,6,6,0,2,3,1
700000.0,"Naplo, Pucusana, Perú",1205.0,Pucusana,3,2,-12.47902,-76.79266,https://www.laencontre.com.pe/inmueble/d50e-92ce-9b0e16ee-eb7cdad97341-4aa1,14,3,0,0,0,1
1250000.0,"Las Lagunas, La Molina, Perú",1054.0,La Molina,5,8,-12.08122,-76.92057,https://www.laencontre.com.pe/inmueble/ab89-c085-78ef91b7-3c5d3794be57-449d,8,7,0,2,4,1
550000.0,"Cercado De Lima, Lima",400.0,Lima,5,5,-12.0503,-77.03662,https://www.laencontre.com.pe/inmueble/cd07-b610-bc2d54e1-e979e1e3427f-4154,75,9,20,107,7,16
129000.0,"Jr. Mateo Avellaneda - Urb. Tungasuca, Jiron Mateo Avellaneda, Carabayllo, Perú",120.0,Carabayllo,4,2,-11.89364,-77.04273,https://www.laencontre.com.pe/inmueble/7d15-b8bd-e016a870-881ac93a77b3-4ea1,65,37,3,22,1,24
530000.0,"Antonio Vivaldi 106, San Borja, Perú",326.0,San Borja,3,3,-12.10274,-77.00424,https://www.laencontre.com.pe/inmueble/90db-bc6d-d058a06-31a403d17fde-1273,29,28,3,64,7,32
530000.0,"Antonio Vivaldi 106, San Borja, Perú",326.0,San Borja,3,3,-12.10274,-77.00424,https://www.laencontre.com.pe/inmueble/90db-9f0c-95c7f36-7fa38c4932cc-1273,29,28,3,64,7,32
200000.0,"San Borja, Lima",103.0,San Borja,3,2,-12.09606,-76.9962,https://www.laencontre.com.pe/inmueble/cf84-8865-80c65a35-b6cfbac8b83e-4d3e,23,38,2,107,3,31
112000.0,"Unidad Vecinal Del Rimac, Lima, Perú",48.0,Lima,4,2,-12.02985,-77.03478,https://www.laencontre.com.pe/inmueble/c74c-a7f7-d9c21f27-2f4e209d8ba9-4797,71,46,5,8,2,19
527192.0,"Villa Club 2, Carabayllo, Perú",76.0,Carabayllo,3,2,-11.90023,-77.02493,https://www.laencontre.com.pe/inmueble/b4c3-872a-d9d840b3-d3314090d8dd-4f04,55,27,3,9,0,6
,"Playa Las Totoritas, Cañete, Lima, Perú",250.0,Mala,4,5,-12.6842,-76.65599,https://www.laencontre.com.pe/inmueble/4014-a134-18302be6-3508c582bfc7-1274,0,0,0,25,0,5
,"Mala, Cañete",200.0,Mala,7,7,-12.65566,-76.62969,https://www.laencontre.com.pe/inmueble/110d-b2c7-1348ee46-6df3a4d333d1-1274,20,5,0,45,1,28
4460856.0,"Alameda De San Juan, Carabayllo, Perú",56.0,Pasto,2,1,1.21392,-77.26901,https://www.laencontre.com.pe/inmueble/7a2d-a9d0-d8673609-9e8198753be2-4f1b,6,8,8,4,9,20
